日付,#,星,カード名,ゲーム,URL
2024/02/11,1,2,風ちゃん,,https://x.com/benjaming_ming/status/1756637482815512853
2024/02/12,1,3,ちくび,,https://x.com/benjaming_ming/status/1757001695450554761
2024/02/13,1,1,パミル,,https://x.com/benjaming_ming/status/1757404769822322701
2024/02/14,1,1,マーブルマッドネス,,https://x.com/benjaming_ming/status/1757752942424412419
2024/02/15,1,2,サキエル,,https://x.com/benjaming_ming/status/1758124039196090449
2024/02/16,1,2,フラグの国のアリス,,https://x.com/benjaming_ming/status/1758464007927906343
2024/02/17,1,2,ジュディ,,https://x.com/benjaming_ming/status/1758811323222372705
2024/02/18,1,3,セーラームーン(3DO),,https://x.com/benjaming_ming/status/1759179979374653460
2024/02/19,1,3,ミラノ,ミラノのアルバイトこれくしょん,https://x.com/benjaming_ming/status/1759556590674551247
2024/02/20,1,2,ムウマ,,https://x.com/benjaming_ming/status/1759914429909704847
2024/02/22,1,2,ちゃお,,https://x.com/benjaming_ming/status/1760666309858337204
2024/02/23,1,3,マリナ,,https://x.com/benjaming_ming/status/1760986135227179519
2024/02/24,1,3,ウィザード,ウィザード・オブ・イモータル,https://x.com/benjaming_ming/status/1761390913224650797
2024/02/25,1,2,NON HUMAN,Action 52,https://x.com/benjaming_ming/status/1761627412063047961
2024/02/26,1,2,兄貴,,https://x.com/benjaming_ming/status/1762089972142932207
2024/02/27,1,2,えりか,,https://x.com/benjaming_ming/status/1762465819815186676
2024/02/28,1,2,ドラゴン,,https://x.com/benjaming_ming/status/1762834051692724280
2024/02/29,1,2,エダルト,てきぱきワーキンラブ,https://x.com/benjaming_ming/status/1763177148557459587
2024/02/29,2,2,アラン,,https://x.com/benjaming_ming/status/1763178886354121198
2024/03/01,1,3,LINK,Link The Faces of Evil,https://x.com/benjaming_ming/status/1763540430552277085
2024/03/02,1,2,チーターマン,,https://x.com/benjaming_ming/status/1763902973686812760
2024/03/03,1,4,マルク,,https://x.com/benjaming_ming/status/1764271205039866033
2024/03/04,1,1,小林ひとみ,,https://x.com/benjaming_ming/status/1764631033193103805
2024/03/05,1,2,キャプテンプラネット,,https://x.com/benjaming_ming/status/1765009712238797232
2024/03/06,1,2,おしゃべりマン,,https://x.com/benjaming_ming/status/1765356842765672721
2024/03/07,1,3,Isis,,https://x.com/benjaming_ming/status/1765721535183274369
2024/03/08,1,1,ココロン,,https://x.com/benjaming_ming/status/1766057758338769090
2024/03/09,1,3,松永ともみ,,https://x.com/benjaming_ming/status/1766433011686608969
2024/03/09,2,1,カイ,カイの冒険,https://x.com/benjaming_ming/status/1766441727748096221
2024/03/10,1,1,健太,,https://x.com/benjaming_ming/status/1766796857970422150
2024/03/10,2,1,トリオ・ザ・バンシー,ぷよぷよ通,https://x.com/benjaming_ming/status/1766813377404588204
2024/03/11,2,1,スペランカー,スペランカー,https://x.com/benjaming_ming/status/1767189171054272853
2024/03/11,1,4,邪鬼王,忍者龍剣伝,https://x.com/benjaming_ming/status/1767183840416829462
2024/03/12,2,1,ギムギム,,https://x.com/benjaming_ming/status/1767549576209457192
